윈도우,단지,모델,RMSE,WAPE
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.91,RandomWalk,43132.54764869207,0.08886971527178662
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.91,SeasonalNaive,43481.317827315506,0.08973252804141561
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.91,AR,43114.43488195066,0.0888328771540409
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.98,RandomWalk,42031.73404306193,0.08650519031141929
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.98,SeasonalNaive,42031.73404306193,0.08650519031141929
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.98,AR,42021.694507217115,0.08648522468561723
BT@2025-06,강남구|개포동|디에이치아너힐즈|49.4,RandomWalk,5.820766091346741e-11,2.9850082519726874e-16
BT@2025-06,강남구|개포동|디에이치아너힐즈|49.4,SeasonalNaive,14288.690166235177,0.05555555555555548
BT@2025-06,강남구|개포동|디에이치아너힐즈|49.4,AR,1803.5702831902936,0.008159217528812662
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.74,RandomWalk,28704.674416083162,0.08882521489971387
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.74,SeasonalNaive,48856.934001224436,0.16704871060171927
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.74,AR,29503.28970273193,0.08967247365104394
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.8,RandomWalk,28704.674416083162,0.08882521489971387
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.8,SeasonalNaive,48856.934001224436,0.16704871060171927
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.8,AR,29503.28970273193,0.08967247365104394
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.87,RandomWalk,28704.674416083162,0.08882521489971387
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.87,SeasonalNaive,48856.934001224436,0.16704871060171927
BT@2025-06,강남구|개포동|디에이치아너힐즈|59.87,AR,29503.28970273193,0.08967247365104394
BT@2025-06,강남구|개포동|디에이치아너힐즈|76.17,RandomWalk,31951.786595848913,0.09003370245546478
BT@2025-06,강남구|개포동|디에이치아너힐즈|76.17,SeasonalNaive,54216.96382744679,0.1551516610495909
BT@2025-06,강남구|개포동|디에이치아너힐즈|76.17,AR,38261.617631858724,0.10422980260186449
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.35,RandomWalk,18874.586088176875,0.05190311418685121
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.35,SeasonalNaive,26398.390102428544,0.07266435986159157
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.35,AR,16152.289493282808,0.043935211075533415
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.63,RandomWalk,28275.062628872576,0.0727580372250423
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.63,SeasonalNaive,46142.893999690496,0.1206993795826285
BT@2025-06,강남구|개포동|디에이치아너힐즈|84.63,AR,33504.976481194586,0.08435656641144978
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.28,RandomWalk,10000.000000000058,0.024691358024691502
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.28,SeasonalNaive,42750.487326657065,0.09825102880658435
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.28,AR,22100.094341650172,0.04376020943961609
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.84,RandomWalk,7071.067811865517,0.012500000000000145
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.84,SeasonalNaive,25248.762345905096,0.05624999999999976
BT@2025-06,강남구|개포동|디에이치아너힐즈|94.84,AR,6693.974993190709,0.013453952337914585
BT@2025-06,강남구|개포동|래미안블레스티지|113.73,RandomWalk,34209.83045851007,0.07737801872843779
BT@2025-06,강남구|개포동|래미안블레스티지|113.73,SeasonalNaive,34209.83045851007,0.07737801872843779
BT@2025-06,강남구|개포동|래미안블레스티지|113.73,AR,29050.20999847627,0.06554469543250539
