윈도우,단지,모델,RMSE,WAPE
BT@2024-06,강남구|개포동|래미안블레스티지|59.88,BAR-X,37055.229459802154,0.14124095807166123
BT@2023-06,강남구|개포동|래미안블레스티지|59.88,RandomWalk,10584.973626167686,0.051033319274567446
BT@2023-06,강남구|개포동|래미안블레스티지|59.88,SeasonalNaive,17761.733211223036,0.07739350485027384
BT@2023-06,강남구|개포동|래미안블레스티지|59.88,AR,4403.146984781517,0.019425391036373717
BT@2023-06,강남구|개포동|래미안블레스티지|59.88,BAR,3490.723326420747,0.013444142655787422
BT@2023-06,강남구|개포동|래미안블레스티지|59.88,BAR-X,14289.619060150935,0.068619539295219
BT@2022-06,강남구|개포동|래미안블레스티지|59.88,RandomWalk,23082.731640774124,0.08530318602261036
BT@2022-06,강남구|개포동|래미안블레스티지|59.88,SeasonalNaive,23463.18037550171,0.09558067831449107
BT@2022-06,강남구|개포동|래미안블레스티지|59.88,AR,25497.817887490753,0.09668618263152887
BT@2022-06,강남구|개포동|래미안블레스티지|59.88,BAR,25458.992260379673,0.09663395002547055
BT@2022-06,강남구|개포동|래미안블레스티지|59.88,BAR-X,25589.942462558083,0.09729638909060026
BT@2024-06,강남구|개포동|래미안블레스티지|59.89,RandomWalk,35285.73838441434,0.13457408732999276
BT@2024-06,강남구|개포동|래미안블레스티지|59.89,SeasonalNaive,37961.60340835627,0.15139584824624153
BT@2024-06,강남구|개포동|래미안블레스티지|59.89,AR,33228.112011188205,0.12668436627764332
BT@2024-06,강남구|개포동|래미안블레스티지|59.89,BAR,33261.49075292591,0.12655155328567738
BT@2024-06,강남구|개포동|래미안블레스티지|59.89,BAR-X,37055.229459802154,0.14124095807166123
BT@2023-06,강남구|개포동|래미안블레스티지|59.89,RandomWalk,10584.973626167686,0.051033319274567446
BT@2023-06,강남구|개포동|래미안블레스티지|59.89,SeasonalNaive,17761.733211223036,0.07739350485027384
BT@2023-06,강남구|개포동|래미안블레스티지|59.89,AR,4403.146984781517,0.019425391036373717
BT@2023-06,강남구|개포동|래미안블레스티지|59.89,BAR,3490.723326420747,0.013444142655787422
BT@2023-06,강남구|개포동|래미안블레스티지|59.89,BAR-X,14289.619060150935,0.068619539295219
BT@2022-06,강남구|개포동|래미안블레스티지|59.89,RandomWalk,23082.731640774124,0.08530318602261036
BT@2022-06,강남구|개포동|래미안블레스티지|59.89,SeasonalNaive,23463.18037550171,0.09558067831449107
BT@2022-06,강남구|개포동|래미안블레스티지|59.89,AR,25497.817887490753,0.09668618263152887
BT@2022-06,강남구|개포동|래미안블레스티지|59.89,BAR,25458.992260379673,0.09663395002547055
BT@2022-06,강남구|개포동|래미안블레스티지|59.89,BAR-X,25589.942462558083,0.09729638909060026
BT@2024-06,강남구|개포동|래미안블레스티지|59.96,RandomWalk,35285.73838441434,0.13457408732999276
BT@2024-06,강남구|개포동|래미안블레스티지|59.96,SeasonalNaive,37961.60340835627,0.15139584824624153
BT@2024-06,강남구|개포동|래미안블레스티지|59.96,AR,33228.112011188205,0.12668436627764332
BT@2024-06,강남구|개포동|래미안블레스티지|59.96,BAR,33261.49075292591,0.12655155328567738
BT@2024-06,강남구|개포동|래미안블레스티지|59.96,BAR-X,37055.229459802154,0.14124095807166123
BT@2023-06,강남구|개포동|래미안블레스티지|59.96,RandomWalk,10584.973626167686,0.051033319274567446
BT@2023-06,강남구|개포동|래미안블레스티지|59.96,SeasonalNaive,17761.733211223036,0.07739350485027384
BT@2023-06,강남구|개포동|래미안블레스티지|59.96,AR,4403.146984781517,0.019425391036373717
BT@2023-06,강남구|개포동|래미안블레스티지|59.96,BAR,3490.723326420747,0.013444142655787422
BT@2023-06,강남구|개포동|래미안블레스티지|59.96,BAR-X,14289.619060150935,0.068619539295219
